rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País,año
6,Harry Nach,Tak Tiki Tak,6,8,1084112,Argentina,2020
8,Harry Nach,Tak Tiki Tak,8,24,831639,Chile,2020
85,Paloma Mami,Goteo,21,9,228491,Chile,2020
16,Harry Nach,Tak Tiki Tak,16,6,258626,Colombia,2020
33,Harry Nach,Tak Tiki Tak,25,10,1109957,España,2020
6,Harry Nach,Tak Tiki Tak,6,6,115780,Guatemala,2020
19,Harry Nach,Tak Tiki Tak,19,5,32834,Honduras,2020
9,Harry Nach,Tak Tiki Tak,9,6,2234782,México,2020
9,Harry Nach,Tak Tiki Tak,8,7,399468,Perú,2020
76,Harry Nach,Tak Tiki Tak,76,4,7367064,Global,2020
6,Harry Nach,Tak Tiki Tak,6,8,1084112,Argentina,2020
8,Harry Nach,Tak Tiki Tak,8,24,831639,Chile,2020
85,Paloma Mami,Goteo,21,9,228491,Chile,2020
16,Harry Nach,Tak Tiki Tak,16,6,258626,Colombia,2020
33,Harry Nach,Tak Tiki Tak,25,10,1109957,España,2020
6,Harry Nach,Tak Tiki Tak,6,6,115780,Guatemala,2020
19,Harry Nach,Tak Tiki Tak,19,5,32834,Honduras,2020
9,Harry Nach,Tak Tiki Tak,9,6,2234782,México,2020
9,Harry Nach,Tak Tiki Tak,8,7,399468,Perú,2020
76,Harry Nach,Tak Tiki Tak,76,4,7367064,Global,2020
130,Ak4:20,Rata Tan Tan,31,40,214380,Chile,2021
69,Ak4:20,Siempre Fine,8,16,360106,Chile,2021
48,Ak4:20,Skyline,16,29,484833,Chile,2021
37,Balbi El Chamako,Ponle,38,1,575671,Chile,2021
37, Marcianeke,Ponle,38,1,575671,Chile,2021
37, El BAI,Ponle,38,1,575671,Chile,2021
128,Cris Mj,Te Fuiste Con Otro,129,2,215490,Chile,2021
128, Marcianeke,Te Fuiste Con Otro,129,2,215490,Chile,2021
173,Drago200,No Está Interesada,86,39,171419,Chile,2021
173, Pablo Chill-E,No Está Interesada,86,39,171419,Chile,2021
173, Ak4:20,No Está Interesada,86,39,171419,Chile,2021
44,El Futuro Fuera De Orbita,Juju Juju,6,22,501788,Chile,2021
44, Harry Nach,Juju Juju,6,22,501788,Chile,2021
44, La Nevula23 Productor,Juju Juju,6,22,501788,Chile,2021
8,Galee Galee,Big Cut,9,2,1247507,Chile,2021
8, Harry Nach,Big Cut,9,2,1247507,Chile,2021
8, Pablo Chill-E,Big Cut,9,2,1247507,Chile,2021
188,Harry Nach,Tak Tiki Tak,7,77,156684,Chile,2021
148,Marcianeke,Envidia,148,5,194721,Chile,2021
162,Marcianeke,Pistolas Con Chip,155,5,182130,Chile,2021
99,Marcianeke,Que Sera,94,8,268568,Chile,2021
38,Marcianeke,Tussi Code Mari,39,10,557025,Chile,2021
38, Crismj,Tussi Code Mari,39,10,557025,Chile,2021
132,Marcianeke,Chambee - Remix,124,7,212692,Chile,2021
132, yammir,Chambee - Remix,124,7,212692,Chile,2021
132, Young Brooklyn,Chambee - Remix,124,7,212692,Chile,2021
132, Victor La Voz,Chambee - Remix,124,7,212692,Chile,2021
132, NicoClear,Chambee - Remix,124,7,212692,Chile,2021
81,Pablo Chill-E,Deseos,69,4,310959,Chile,2021
81, Julianno Sosa,Deseos,69,4,310959,Chile,2021
29,Pailita,Dimelo Ma,30,9,624011,Chile,2021
29, Marcianeke,Dimelo Ma,30,9,624011,Chile,2021
88,Ricky Martin,Qué Rico Fuera,68,4,290935,Chile,2021
88, Paloma Mami,Qué Rico Fuera,68,4,290935,Chile,2021
198,Simon la Letra,Bloqueame,62,20,153130,Chile,2021
198, Pablo Chill-E,Bloqueame,62,20,153130,Chile,2021
14,Cris Mj,Una Noche en Medellín,4,20,1322825,Argentina,2022
50,Polimá Westcoast,ULTRA SOLO,29,10,710940,Argentina,2022
50, Pailita,ULTRA SOLO,29,10,710940,Argentina,2022
60,Julianno Sosa,Cochinae,48,8,572152,Argentina,2022
60, King Savagge,Cochinae,48,8,572152,Argentina,2022
67,Polimá Westcoast,ULTRA SOLO REMIX,60,3,520227,Argentina,2022
67, Feid,ULTRA SOLO REMIX,60,3,520227,Argentina,2022
67, Pailita,ULTRA SOLO REMIX,60,3,520227,Argentina,2022
67, Paloma Mami,ULTRA SOLO REMIX,60,3,520227,Argentina,2022
67, De La Ghetto,ULTRA SOLO REMIX,60,3,520227,Argentina,2022
69,Cris Mj,Locura y Maldad,69,4,509726,Argentina,2022
116,Standly,Pégate,77,16,341485,Argentina,2022
117,Ak4:20,Me Arrepentí,117,1,339782,Argentina,2022
117, Pailita,Me Arrepentí,117,1,339782,Argentina,2022
117, Cris Mj,Me Arrepentí,117,1,339782,Argentina,2022
1,Polimá Westcoast,ULTRA SOLO REMIX,1,3,3366431,Chile,2022
1, Feid,ULTRA SOLO REMIX,1,3,3366431,Chile,2022
1, Pailita,ULTRA SOLO REMIX,1,3,3366431,Chile,2022
1, Paloma Mami,ULTRA SOLO REMIX,1,3,3366431,Chile,2022
1, De La Ghetto,ULTRA SOLO REMIX,1,3,3366431,Chile,2022
2,Young Cister,LA TERAPIA,2,1,3038465,Chile,2022
8,Ak4:20,Me Arrepentí,1,15,1754667,Chile,2022
8, Pailita,Me Arrepentí,1,15,1754667,Chile,2022
8, Cris Mj,Me Arrepentí,1,15,1754667,Chile,2022
9,Polimá Westcoast,ULTRA SOLO,1,21,1508615,Chile,2022
9, Pailita,ULTRA SOLO,1,21,1508615,Chile,2022
10,Julianno Sosa,Cochinae,3,11,1431611,Chile,2022
10, King Savagge,Cochinae,3,11,1431611,Chile,2022
12,Cris Mj,Una Noche en Medellín,1,24,1391779,Chile,2022
16,El Jordan 23,Bailando,3,21,1292194,Chile,2022
16, Standly,Bailando,3,21,1292194,Chile,2022
18,Cris Mj,Paz Mental,6,4,1194276,Chile,2022
19,Polimá Westcoast,SEXTIME,6,14,1117110,Chile,2022
19, Young Cister,SEXTIME,6,14,1117110,Chile,2022
19, Cris Mj,SEXTIME,6,14,1117110,Chile,2022
21,Pailita,Dime Tú,4,21,1097264,Chile,2022
21, Cris Mj,Dime Tú,4,21,1097264,Chile,2022
21, Big Cvyu,Dime Tú,4,21,1097264,Chile,2022
23,Standly,Panamera,23,12,993447,Chile,2022
25,Nickoog Clk,Que se hace,21,5,937652,Chile,2022
25, Standly,Que se hace,21,5,937652,Chile,2022
28,Standly,Pégate,1,27,883447,Chile,2022
30,Sayian Jimmy,Flotao,26,10,847065,Chile,2022
30, Standly,Flotao,26,10,847065,Chile,2022
30, Yishark,Flotao,26,10,847065,Chile,2022
30, Nysix Music,Flotao,26,10,847065,Chile,2022
30, Tobal Mj,Flotao,26,10,847065,Chile,2022
30, Benji La Maldita Escritura De Oro,Flotao,26,10,847065,Chile,2022
35,Pailita,Par de Veces,9,14,774999,Chile,2022
35, El Casti,Par de Veces,9,14,774999,Chile,2022
37,Tunechikidd,Sin Miedo,37,2,705958,Chile,2022
37, Pailita,Sin Miedo,37,2,705958,Chile,2022
37, Marcianeke,Sin Miedo,37,2,705958,Chile,2022
37, Nickoog Clk,Sin Miedo,37,2,705958,Chile,2022
37, Criss J.,Sin Miedo,37,2,705958,Chile,2022
40,Nio Garcia,Yo Quiero,23,9,686143,Chile,2022
40, Pailita,Yo Quiero,23,9,686143,Chile,2022
47,Cris Mj,Los Malvekes,1,36,629718,Chile,2022
47, Marcianeke,Los Malvekes,1,36,629718,Chile,2022
47, Simon la Letra,Los Malvekes,1,36,629718,Chile,2022
47, Stars Music Chile,Los Malvekes,1,36,629718,Chile,2022
49,Nickoog Clk,En El Jacuzzi,8,13,610715,Chile,2022
50,Nickoog Clk,Phillie y Botella (Remix),17,20,590208,Chile,2022
50, Simon la Letra,Phillie y Botella (Remix),17,20,590208,Chile,2022
50, Standly,Phillie y Botella (Remix),17,20,590208,Chile,2022
50, Pailita,Phillie y Botella (Remix),17,20,590208,Chile,2022
51,Standly,Bailemos Reggaeton,21,15,584340,Chile,2022
52,El Barto,Flaytiando,11,27,552750,Chile,2022
52, El Jordan 23,Flaytiando,11,27,552750,Chile,2022
52, Standly,Flaytiando,11,27,552750,Chile,2022
52, Drakomafia,Flaytiando,11,27,552750,Chile,2022
52, Gabo El Chamaquito,Flaytiando,11,27,552750,Chile,2022
53,Standly,Mi Gata,1,32,552329,Chile,2022
53, El Barto,Mi Gata,1,32,552329,Chile,2022
57,Gino Mella,TAY PAPO,57,2,529890,Chile,2022
57, King Savagge,TAY PAPO,57,2,529890,Chile,2022
57, Best,TAY PAPO,57,2,529890,Chile,2022
58,Pailita,Más de una Vez,40,5,498235,Chile,2022
63,Cris Mj,Como Te Va,13,19,465814,Chile,2022
68,Balbi El Chamako,Ponle - Remix,7,20,440962,Chile,2022
68, El BAI,Ponle - Remix,7,20,440962,Chile,2022
68, Marcianeke,Ponle - Remix,7,20,440962,Chile,2022
68, Pailita,Ponle - Remix,7,20,440962,Chile,2022
68, Young Cister,Ponle - Remix,7,20,440962,Chile,2022
68, Jairo Vera,Ponle - Remix,7,20,440962,Chile,2022
68, Harry Nach,Ponle - Remix,7,20,440962,Chile,2022
68, Forest,Ponle - Remix,7,20,440962,Chile,2022
68, Julianno Sosa,Ponle - Remix,7,20,440962,Chile,2022
68," Franco ""El Gorilla""",Ponle - Remix,7,20,440962,Chile,2022
68, Cris Mj,Ponle - Remix,7,20,440962,Chile,2022
73,Lleflight,"FULL PIOLI 2.O (feat. Julianno Sosa, El Jordan 23, King Savagge, Polima West Coast, Drago200, Jairo Vera, Galee Galee, Best)",16,17,430154,Chile,2022
73, Pablo Chill-E,"FULL PIOLI 2.O (feat. Julianno Sosa, El Jordan 23, King Savagge, Polima West Coast, Drago200, Jairo Vera, Galee Galee, Best)",16,17,430154,Chile,2022
73, Gino Mella,"FULL PIOLI 2.O (feat. Julianno Sosa, El Jordan 23, King Savagge, Polima West Coast, Drago200, Jairo Vera, Galee Galee, Best)",16,17,430154,Chile,2022
73, Julianno Sosa,"FULL PIOLI 2.O (feat. Julianno Sosa, El Jordan 23, King Savagge, Polima West Coast, Drago200, Jairo Vera, Galee Galee, Best)",16,17,430154,Chile,2022
73, El Jordan 23,"FULL PIOLI 2.O (feat. Julianno Sosa, El Jordan 23, King Savagge, Polima West Coast, Drago200, Jairo Vera, Galee Galee, Best)",16,17,430154,Chile,2022
73, King Savagge,"FULL PIOLI 2.O (feat. Julianno Sosa, El Jordan 23, King Savagge, Polima West Coast, Drago200, Jairo Vera, Galee Galee, Best)",16,17,430154,Chile,2022
73, Polimá Westcoast,"FULL PIOLI 2.O (feat. Julianno Sosa, El Jordan 23, King Savagge, Polima West Coast, Drago200, Jairo Vera, Galee Galee, Best)",16,17,430154,Chile,2022
73, Drago200,"FULL PIOLI 2.O (feat. Julianno Sosa, El Jordan 23, King Savagge, Polima West Coast, Drago200, Jairo Vera, Galee Galee, Best)",16,17,430154,Chile,2022
73, Jairo Vera,"FULL PIOLI 2.O (feat. Julianno Sosa, El Jordan 23, King Savagge, Polima West Coast, Drago200, Jairo Vera, Galee Galee, Best)",16,17,430154,Chile,2022
73, Galee Galee,"FULL PIOLI 2.O (feat. Julianno Sosa, El Jordan 23, King Savagge, Polima West Coast, Drago200, Jairo Vera, Galee Galee, Best)",16,17,430154,Chile,2022
73, Best,"FULL PIOLI 2.O (feat. Julianno Sosa, El Jordan 23, King Savagge, Polima West Coast, Drago200, Jairo Vera, Galee Galee, Best)",16,17,430154,Chile,2022
75,Cris Mj,Locura y Maldad,20,38,413035,Chile,2022
87,Pailita,Hooka,41,29,383957,Chile,2022
87, El Casti,Hooka,41,29,383957,Chile,2022
87, Bigcvyu,Hooka,41,29,383957,Chile,2022
89,Standly,Me Voy Contigo,34,19,382282,Chile,2022
89, Polimá Westcoast,Me Voy Contigo,34,19,382282,Chile,2022
90,Young Cister,Casi Amor De Verano,5,28,377153,Chile,2022
95,Ak4:20,MARIMBA GRINGA,42,11,356008,Chile,2022
95, Brray,MARIMBA GRINGA,42,11,356008,Chile,2022
98,JOSEPE EL DEMENTE,Morena Cachetona,7,27,329621,Chile,2022
98, Sayian Jimmy,Morena Cachetona,7,27,329621,Chile,2022
105,Standly,Tarzan de la Selva,65,4,310245,Chile,2022
105, Jon Z,Tarzan de la Selva,65,4,310245,Chile,2022
111,Nickoog Clk,Por Ella,111,1,304445,Chile,2022
118,Harry Nach,LA DEL SAXO,118,1,284658,Chile,2022
118, Ovyze,LA DEL SAXO,118,1,284658,Chile,2022
119,El Jordan 23,Xipetiao,106,29,281259,Chile,2022
119, Marcianeke,Xipetiao,106,29,281259,Chile,2022
119, Pailita,Xipetiao,106,29,281259,Chile,2022
120,Marcianeke,Ponte Pa Mí,76,7,273090,Chile,2022
121,El Jordan 23,Ta' Soltera,69,30,272061,Chile,2022
121, Cris Mj,Ta' Soltera,69,30,272061,Chile,2022
125,Young Cister,DOLCE,32,19,266231,Chile,2022
125, Duki,DOLCE,32,19,266231,Chile,2022
128,Kail BRL,Activo (feat. Tobal Mj),115,7,264986,Chile,2022
128, Standly,Activo (feat. Tobal Mj),115,7,264986,Chile,2022
128, Benji La Maldita Escritura De Oro,Activo (feat. Tobal Mj),115,7,264986,Chile,2022
128, Tobal Mj,Activo (feat. Tobal Mj),115,7,264986,Chile,2022
129,Gino Mella,PALOMA,97,8,264302,Chile,2022
129, Jairo Vera,PALOMA,97,8,264302,Chile,2022
129, Big Cvyu,PALOMA,97,8,264302,Chile,2022
142,Nickoog Clk,ESE CULITO,45,14,237966,Chile,2022
142, Dainesitta,ESE CULITO,45,14,237966,Chile,2022
143,Ceaese,Te Quiero Ver (feat. Polimá Westcoast y Young Cister),33,125,237480,Chile,2022
143, Utopiko,Te Quiero Ver (feat. Polimá Westcoast y Young Cister),33,125,237480,Chile,2022
143, Polimá Westcoast,Te Quiero Ver (feat. Polimá Westcoast y Young Cister),33,125,237480,Chile,2022
143, Young Cister,Te Quiero Ver (feat. Polimá Westcoast y Young Cister),33,125,237480,Chile,2022
151,Pailita,Dimelo Ma,2,61,222551,Chile,2022
151, Marcianeke,Dimelo Ma,2,61,222551,Chile,2022
152,Polimá Westcoast,MONEYMAN (feat. Galee Galee & ITHAN NY),9,31,220755,Chile,2022
152, Pablo Chill-E,MONEYMAN (feat. Galee Galee & ITHAN NY),9,31,220755,Chile,2022
152, Harry Nach,MONEYMAN (feat. Galee Galee & ITHAN NY),9,31,220755,Chile,2022
152, Galee Galee,MONEYMAN (feat. Galee Galee & ITHAN NY),9,31,220755,Chile,2022
152, ITHAN NY,MONEYMAN (feat. Galee Galee & ITHAN NY),9,31,220755,Chile,2022
178,King Savagge,Pantano,76,20,206326,Chile,2022
185,Julianno Sosa,Vente Al Party,185,1,199874,Chile,2022
185, Standly,Vente Al Party,185,1,199874,Chile,2022
186,Julianno Sosa,Positivo,81,11,198615,Chile,2022
186, Pablo Chill-E,Positivo,81,11,198615,Chile,2022
191,Polimá Westcoast,Cu4tro,4,44,194363,Chile,2022
191, Pablo Chill-E,Cu4tro,4,44,194363,Chile,2022
191, ARON,Cu4tro,4,44,194363,Chile,2022
16,Polimá Westcoast,ULTRA SOLO REMIX,14,3,580321,Colombia,2022
16, Feid,ULTRA SOLO REMIX,14,3,580321,Colombia,2022
16, Pailita,ULTRA SOLO REMIX,14,3,580321,Colombia,2022
16, Paloma Mami,ULTRA SOLO REMIX,14,3,580321,Colombia,2022
16, De La Ghetto,ULTRA SOLO REMIX,14,3,580321,Colombia,2022
24,Cris Mj,Una Noche en Medellín,9,20,517227,Colombia,2022
113,Polimá Westcoast,ULTRA SOLO,50,11,160826,Colombia,2022
113, Pailita,ULTRA SOLO,50,11,160826,Colombia,2022
131,Julianno Sosa,Cochinae,102,8,142384,Colombia,2022
131, King Savagge,Cochinae,102,8,142384,Colombia,2022
15,Polimá Westcoast,ULTRA SOLO,11,10,1882815,España,2022
15, Pailita,ULTRA SOLO,11,10,1882815,España,2022
25,Cris Mj,Una Noche en Medellín,2,20,1562193,España,2022
63,Polimá Westcoast,ULTRA SOLO REMIX,53,3,827117,España,2022
63, Feid,ULTRA SOLO REMIX,53,3,827117,España,2022
63, Pailita,ULTRA SOLO REMIX,53,3,827117,España,2022
63, Paloma Mami,ULTRA SOLO REMIX,53,3,827117,España,2022
63, De La Ghetto,ULTRA SOLO REMIX,53,3,827117,España,2022
130,Julianno Sosa,Cochinae,114,6,443850,España,2022
130, King Savagge,Cochinae,114,6,443850,España,2022
37,Cris Mj,Una Noche en Medellín,9,19,12233289,Global,2022
53,Polimá Westcoast,ULTRA SOLO REMIX,44,3,10240753,Global,2022
53, Feid,ULTRA SOLO REMIX,44,3,10240753,Global,2022
53, Pailita,ULTRA SOLO REMIX,44,3,10240753,Global,2022
53, Paloma Mami,ULTRA SOLO REMIX,44,3,10240753,Global,2022
53, De La Ghetto,ULTRA SOLO REMIX,44,3,10240753,Global,2022
85,Polimá Westcoast,ULTRA SOLO,42,11,8002979,Global,2022
85, Pailita,ULTRA SOLO,42,11,8002979,Global,2022
24,Cris Mj,Una Noche en Medellín,8,20,180304,Guatemala,2022
28,Polimá Westcoast,ULTRA SOLO REMIX,28,3,168712,Guatemala,2022
28, Feid,ULTRA SOLO REMIX,28,3,168712,Guatemala,2022
28, Pailita,ULTRA SOLO REMIX,28,3,168712,Guatemala,2022
28, Paloma Mami,ULTRA SOLO REMIX,28,3,168712,Guatemala,2022
28, De La Ghetto,ULTRA SOLO REMIX,28,3,168712,Guatemala,2022
47,Polimá Westcoast,ULTRA SOLO,28,11,116513,Guatemala,2022
47, Pailita,ULTRA SOLO,28,11,116513,Guatemala,2022
163,Julianno Sosa,Cochinae,143,7,49632,Guatemala,2022
163, King Savagge,Cochinae,143,7,49632,Guatemala,2022
37,Cris Mj,Una Noche en Medellín,12,20,51322,Honduras,2022
40,Polimá Westcoast,ULTRA SOLO REMIX,37,3,49045,Honduras,2022
40, Feid,ULTRA SOLO REMIX,37,3,49045,Honduras,2022
40, Pailita,ULTRA SOLO REMIX,37,3,49045,Honduras,2022
40, Paloma Mami,ULTRA SOLO REMIX,37,3,49045,Honduras,2022
40, De La Ghetto,ULTRA SOLO REMIX,37,3,49045,Honduras,2022
82,Polimá Westcoast,ULTRA SOLO,40,10,24149,Honduras,2022
82, Pailita,ULTRA SOLO,40,10,24149,Honduras,2022
21,Cris Mj,Una Noche en Medellín,3,20,3195933,México,2022
45,Polimá Westcoast,ULTRA SOLO,22,11,2040204,México,2022
45, Pailita,ULTRA SOLO,22,11,2040204,México,2022
46,Polimá Westcoast,ULTRA SOLO REMIX,46,3,2014467,México,2022
46, Feid,ULTRA SOLO REMIX,46,3,2014467,México,2022
46, Pailita,ULTRA SOLO REMIX,46,3,2014467,México,2022
46, Paloma Mami,ULTRA SOLO REMIX,46,3,2014467,México,2022
46, De La Ghetto,ULTRA SOLO REMIX,46,3,2014467,México,2022
14,Polimá Westcoast,ULTRA SOLO REMIX,14,3,590051,Perú,2022
14, Feid,ULTRA SOLO REMIX,14,3,590051,Perú,2022
14, Pailita,ULTRA SOLO REMIX,14,3,590051,Perú,2022
14, Paloma Mami,ULTRA SOLO REMIX,14,3,590051,Perú,2022
14, De La Ghetto,ULTRA SOLO REMIX,14,3,590051,Perú,2022
15,Cris Mj,Una Noche en Medellín,3,20,583972,Perú,2022
36,Polimá Westcoast,ULTRA SOLO,15,11,371526,Perú,2022
36, Pailita,ULTRA SOLO,15,11,371526,Perú,2022
62,Julianno Sosa,Cochinae,59,9,240492,Perú,2022
62, King Savagge,Cochinae,59,9,240492,Perú,2022
108,Standly,Pégate,54,18,148065,Perú,2022
182,El Jordan 23,Bailando,64,13,104339,Perú,2022
182, Standly,Bailando,64,13,104339,Perú,2022
